"TwoYrRecidivism","AgeAboveFoutryFive","AgeBelowTwentyFive","Gender","Misdemeanor","Ethnicity","Predicted"
"no","no","yes","Female","yes","African_American","no"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Female","no","African_American","no"
"yes","no","no","Male","no","African_American","no"
"no","no","no","Female","yes","Other","no"
"yes","yes","no","Male","no","African_American","no"
"no","no","no","Male","yes","Caucasian","no"
"yes","no","no","Female","no","African_American","no"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Male","no","Caucasian","no"
"no","yes","no","Female","yes","Hispanic","no"
"yes","no","no","Male","no","African_American","yes"
"no","no","yes","Male","yes","African_American","yes"
"no","no","no","Male","no","African_American","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","no","Male","no","Caucasian","yes"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","no"
"no","no","no","Male","no","African_American","no"
"no","no","no","Female","no","Caucasian","yes"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","no"
"yes","no","no","Female","yes","Caucasian","no"
"no","no","yes","Female","yes","African_American","no"
"no","yes","no","Male","no","African_American","no"
"yes","no","no","Male","yes","Caucasian","yes"
"yes","no","no","Male","no","African_American","yes"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","no","Male","no","African_American","yes"
"yes","no","yes","Male","no","Caucasian","yes"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Male","yes","African_American","no"
"yes","no","no","Male","no","Hispanic","yes"
"no","no","no","Female","no","African_American","no"
"yes","no","no","Male","no","African_American","yes"
"no","yes","no","Male","no","Caucasian","no"
"no","yes","no","Male","no","Caucasian","no"
"no","no","no","Female","no","Caucasian","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","no","Female","no","Caucasian","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","yes","Male","no","Caucasian","yes"
"yes","no","no","Male","no","Caucasian","yes"
"no","no","no","Male","yes","Other","no"
"yes","no","no","Female","yes","African_American","yes"
"yes","no","no","Male","no","African_American","no"
"no","no","no","Male","yes","Other","yes"
"yes","no","no","Male","yes","African_American","no"
"yes","yes","no","Male","no","Caucasian","no"
"yes","no","no","Male","no","Caucasian","no"
"no","no","no","Male","yes","African_American","no"
"yes","yes","no","Male","no","Caucasian","yes"
"no","no","no","Male","yes","African_American","yes"
"yes","no","no","Female","no","Caucasian","no"
"yes","no","yes","Male","yes","African_American","yes"
"yes","no","no","Male","yes","African_American","no"
"yes","no","no","Female","no","Caucasian","no"
"no","no","no","Male","yes","African_American","yes"
"no","no","no","Male","no","Other","no"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Female","no","Caucasian","no"
"no","no","no","Male","no","African_American","yes"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Female","no","Other","no"
"no","no","no","Male","no","African_American","no"
"yes","no","no","Female","no","Caucasian","no"
"yes","no","yes","Female","no","African_American","yes"
"no","no","no","Female","no","Caucasian","no"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","no"
"no","no","yes","Male","no","African_American","yes"
"no","no","no","Male","no","Caucasian","no"
"yes","no","yes","Male","no","African_American","yes"
"no","yes","no","Male","yes","African_American","no"
"no","no","no","Male","no","African_American","yes"
"yes","no","no","Male","no","Caucasian","yes"
"no","no","no","Female","no","Caucasian","no"
"yes","no","yes","Male","no","Caucasian","yes"
"yes","no","no","Female","yes","Hispanic","no"
"yes","yes","no","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","no"
"yes","no","no","Male","yes","African_American","yes"
"yes","yes","no","Male","yes","Caucasian","no"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Male","no","Caucasian","no"
"no","yes","no","Female","yes","Caucasian","no"
"yes","no","no","Female","yes","African_American","no"
"no","no","no","Male","no","Caucasian","yes"
"no","no","no","Female","yes","Caucasian","no"
"no","no","no","Female","yes","Caucasian","no"
"yes","no","no","Male","yes","Hispanic","yes"
"yes","yes","no","Male","yes","Caucasian","no"
"yes","no","no","Male","no","African_American","yes"
"no","yes","no","Female","yes","Caucasian","no"
"no","no","yes","Male","no","Caucasian","yes"
"yes","no","no","Male","yes","Caucasian","no"
"no","no","no","Male","yes","Hispanic","no"
"yes","no","yes","Male","yes","Hispanic","no"
"no","yes","no","Male","no","Hispanic","no"
"no","yes","no","Male","yes","Caucasian","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","no","Male","no","African_American","no"
"yes","no","no","Male","yes","African_American","yes"
"no","no","no","Male","yes","Asian","yes"
"no","no","no","Male","yes","Caucasian","no"
"no","yes","no","Male","yes","African_American","no"
"yes","no","no","Male","no","Caucasian","no"
"no","no","no","Female","yes","African_American","no"
"no","yes","no","Male","no","Caucasian","no"
"no","no","no","Male","yes","Hispanic","no"
"yes","no","yes","Male","yes","African_American","yes"
"no","yes","no","Male","no","Caucasian","no"
"yes","no","no","Female","no","Caucasian","no"
"no","no","no","Female","no","Caucasian","no"
"yes","no","no","Male","yes","African_American","no"
"yes","no","no","Male","yes","African_American","yes"
"no","yes","no","Male","no","Caucasian","no"
"no","yes","no","Male","no","Hispanic","yes"
"no","no","no","Male","no","Caucasian","no"
"no","yes","no","Male","no","Caucasian","no"
"no","no","no","Male","yes","African_American","yes"
"no","yes","no","Male","yes","Caucasian","no"
"yes","no","no","Male","no","African_American","yes"
"yes","no","yes","Female","no","African_American","yes"
"yes","no","no","Male","no","African_American","yes"
"no","no","yes","Male","no","Caucasian","yes"
"no","no","yes","Male","yes","African_American","yes"
"no","no","no","Male","no","African_American","yes"
"no","no","no","Female","yes","Caucasian","no"
"no","yes","no","Male","no","African_American","yes"
"yes","no","no","Male","yes","African_American","yes"
"no","no","no","Female","no","Caucasian","no"
"no","yes","no","Male","yes","African_American","no"
"no","no","no","Male","yes","African_American","no"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Male","yes","African_American","no"
"no","no","no","Male","yes","African_American","no"
"no","no","no","Female","no","African_American","no"
"yes","no","yes","Male","yes","Caucasian","yes"
"no","yes","no","Male","yes","African_American","no"
"no","no","yes","Male","no","African_American","yes"
"yes","no","yes","Male","no","African_American","yes"
"no","yes","no","Female","no","Caucasian","no"
"no","no","no","Male","yes","African_American","no"
"yes","yes","no","Male","no","African_American","yes"
"yes","no","no","Male","yes","African_American","no"
"no","no","no","Male","yes","Caucasian","no"
"yes","no","yes","Male","no","Other","yes"
"no","yes","no","Male","no","African_American","no"
"no","no","no","Male","yes","Asian","no"
"no","no","no","Male","no","Hispanic","no"
"yes","no","no","Male","no","Hispanic","no"
"yes","no","no","Male","no","Caucasian","no"
"yes","no","no","Male","yes","African_American","yes"
"no","no","no","Female","no","African_American","no"
"yes","no","yes","Male","no","Hispanic","yes"
"no","no","yes","Male","no","African_American","yes"
"no","no","no","Male","yes","Caucasian","no"
"yes","no","no","Male","yes","African_American","no"
"no","no","no","Female","no","Caucasian","yes"
"no","no","yes","Male","yes","African_American","yes"
"yes","no","no","Male","no","Caucasian","yes"
"yes","yes","no","Male","yes","Caucasian","no"
"no","no","yes","Male","no","Hispanic","yes"
"no","no","no","Male","yes","African_American","no"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Female","no","African_American","no"
"no","yes","no","Male","no","African_American","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","yes","Male","yes","African_American","yes"
"yes","no","yes","Male","yes","African_American","yes"
"no","yes","no","Male","no","Caucasian","no"
"no","yes","no","Male","no","Caucasian","no"
"no","no","yes","Female","no","African_American","yes"
"yes","no","yes","Female","no","Other","yes"
"no","no","no","Male","yes","Hispanic","no"
"yes","no","no","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","yes"
"no","yes","no","Female","no","African_American","no"
"yes","yes","no","Male","no","Caucasian","yes"
"no","no","yes","Female","yes","African_American","no"
"no","yes","no","Male","no","African_American","no"
"no","no","no","Male","no","Asian","no"
"yes","no","no","Male","yes","African_American","yes"
"no","no","no","Female","no","African_American","yes"
"yes","no","no","Male","yes","African_American","no"
"no","no","no","Male","no","Caucasian","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","yes","no","Male","no","Caucasian","no"
"yes","no","yes","Male","no","Hispanic","yes"
"no","no","no","Male","no","Caucasian","no"
"no","no","no","Male","no","African_American","no"
"no","no","yes","Male","no","African_American","yes"
"yes","no","no","Male","no","African_American","yes"
"yes","no","no","Male","no","Caucasian","yes"
"no","yes","no","Male","no","African_American","no"
"no","no","yes","Male","yes","Caucasian","yes"
"yes","no","no","Male","yes","Caucasian","no"
"yes","no","no","Male","no","Hispanic","no"
"yes","no","no","Male","no","African_American","no"
"no","no","no","Female","no","African_American","no"
"no","no","yes","Female","no","African_American","yes"
"no","no","yes","Female","no","African_American","yes"
"yes","no","no","Male","yes","Caucasian","no"
"yes","no","yes","Female","yes","African_American","yes"
"yes","no","no","Male","no","Caucasian","yes"
"no","no","no","Female","yes","Caucasian","no"
"yes","no","no","Male","no","African_American","no"
"no","no","no","Male","yes","Caucasian","no"
"yes","no","yes","Male","yes","African_American","yes"
"yes","no","yes","Male","no","African_American","yes"
"yes","no","no","Male","no","Caucasian","no"
"no","no","yes","Female","yes","Hispanic","no"
"yes","no","no","Female","yes","Caucasian","no"
"no","yes","no","Male","no","African_American","no"
"no","no","no","Female","yes","Caucasian","no"
"yes","no","no","Male","no","African_American","yes"
"no","no","yes","Male","yes","African_American","yes"
"no","yes","no","Male","no","African_American","yes"
"no","no","no","Female","yes","Caucasian","no"
"no","no","no","Male","no","Other","no"
"no","no","no","Male","no","African_American","no"
"yes","no","yes","Male","no","African_American","yes"
"yes","yes","no","Male","no","African_American","yes"
"no","no","no","Male","no","Hispanic","no"
"yes","no","no","Male","no","Other","no"
"yes","no","no","Male","no","Caucasian","no"
"no","no","no","Male","no","African_American","no"
"yes","no","no","Male","yes","African_American","yes"
"yes","no","no","Male","no","African_American","yes"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","no"
"no","no","yes","Female","no","African_American","yes"
"yes","no","no","Male","no","African_American","yes"
"yes","no","no","Male","no","Caucasian","no"
"no","no","no","Female","no","African_American","no"
"yes","yes","no","Female","no","African_American","no"
"yes","no","yes","Female","no","African_American","yes"
"no","no","no","Male","no","African_American","no"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Female","no","African_American","no"
"no","no","no","Female","no","Other","no"
"yes","no","no","Male","no","African_American","yes"
"yes","no","no","Male","no","Caucasian","yes"
"no","no","no","Male","no","Other","no"
"yes","no","no","Male","no","Caucasian","no"
"yes","no","no","Female","no","Caucasian","no"
"no","no","yes","Male","no","Caucasian","yes"
"yes","no","yes","Female","yes","Caucasian","yes"
"no","yes","no","Male","no","Other","no"
"yes","no","yes","Male","no","African_American","yes"
"no","no","no","Male","no","African_American","yes"
"no","no","no","Male","no","Asian","no"
"no","no","no","Female","no","African_American","yes"
"no","no","no","Male","yes","Other","no"
"yes","no","no","Male","no","Caucasian","yes"
"no","no","no","Female","no","African_American","no"
"no","no","no","Male","yes","African_American","no"
"no","no","yes","Male","no","Caucasian","yes"
"no","yes","no","Male","yes","Caucasian","no"
